Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source,href
2018.05.24,2018-05-24,2018,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,Feeding,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,"ABC.net.au ,05/24/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf
2018.05.21,2018-05-21,2018,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",Boarding,M,10,Injuries to lower right leg and foot,N,,,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf
2018.05.13.b,2018-05-13,2018,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Severe bite to right forearm,N,15h00,,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf
2018.05.13.a,2018-05-13,2018,Provoked,ENGLAND,Cornwall,Off Land's End,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf
2018.05.00,2018-05-01,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m","Perth Now, 6/30/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf
2018.05.12,2018-05-12,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11h00,,"B.Jacob, Dispatch Live, 5/12/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf
2018.05.09,2018-05-09,2018,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf
2018.04.30.R,2018-04-30,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,,,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf
2018.04.28.b,2018-04-28,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,Costa Rica Star. 4/28/2018,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf
2018.04.28.a,2018-04-28,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,16h50,,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf
2018.04.25.b,2018-04-25,2018,Unprovoked,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,No injury,N,07h00,Questionable,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf
2018.04.25.a,2018-04-25,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf
2018.04.24,2018-04-24,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf
2018.04.23,2018-04-23,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf
2018.04.22,2018-04-22,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m","Africa News Agency, 4/22/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf
2018.04.19,2018-04-19,2018,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Boarding,M,29,Lacerations to right lower leg,N,,6' shark,"The Garden Island, 4/19/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf
2018.04.15.d,2018-04-15,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,"Straits Times, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf
2018.04.15.c,2018-04-15,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,,"Globo, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf
2018.04.15.b,2018-04-15,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf
2018.04.15.a,2018-04-15,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf
2018.04.14,2018-04-14,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,"Tribune242,",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff
2018.04.10.R,2018-04-10,2018,Provoked,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf
2018.04.09,2018-04-09,2018,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Surfing,,,"No injury, shark bit board",N,17h00,2 m shark,"Les Nouvelles Caledoniennes, 4/10/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf
2018.04.05,2018-04-05,2018,Unprovoked,BAHAMAS,,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf
2018.04.03,2018-04-03,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf
2018.03.31,2018-03-31,2018,Unprovoked,USA,Hawaii,Kukio Beach,Boarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'","Khon2, 3/31/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf
2018.03.14,2018-03-14,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf
2018.03.09.b,2018-03-09,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf
2018.03.09.a,2018-03-09,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf
2018.02.24,2018-02-24,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark,"International Business Times, 3/1/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf
2018.02.23,2018-02-23,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf
2018.02.17,2018-02-18,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Fishing,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf
2018.02.15,2018-02-15,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf
2018.02.14,2018-02-14,2018,Provoked,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong,"Sunshine Coast Daily, 2/15/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf
2018.02.11,2018-02-11,2018,Provoked,BRAZIL,"Boi Island, Victoria",Espirito Santo,,F,46,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark",TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf
2018.02.03,2018-02-03,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark?,"The Standard (UK), 2/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf
2018.02.01,2018-02-01,2018,Provoked,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Fishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,2m shark,"The West Australian, 2/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf
2018.01.28,2018-01-28,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,18,Injuries to right leg,N,08h00,Bull shark,"ABC.net.au, 01/28/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf
2018.01.21,2018-01-21,2018,Unprovoked,NEW CALEDONIA,,Nouville,Fishing,M,40,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf
2018.01.14,2018-01-14,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf
2018.01.13,2018-01-13,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Diving,M,28,"No injury, shark took his swimfin",N,,"White shark, 3.5 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf
2018.01.12,2018-01-12,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf
2018.01.05,2018-01-05,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,N,,Wobbegong shark?,"Perth Now, 1/6/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf
2017.12.31,2017-12-31,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,"J. Howard, Surfling Now, 1/2/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf
2017.12.30,2017-12-30,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12h00,,R. Collier,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf
2017.12.21,2017-12-21,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf
2017.12.09,2017-12-09,2017,Unprovoked,BAHAMAS,,,Snorkeling,F,25,Minor injury to arm,N,,Nurse shark. 5',"Daily Star, 12/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf
2017.11.30.b,2017-11-30,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,M,26,Serious injury to leg,N,,"Tiger shark, female",R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.b-Jimenez.pdf
2017.11.30.a,2017-11-30,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Diving,F,49,FATAL,Y,,"Tiger shark, female",R. Arauz,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.30.a-Bhandari.pdf
2017.11.25.R,2017-11-25,2017,Unprovoked,LIBYA,, Gars Garabulli,,,,FATAL,Y,,Some drowned but other may have been killed by blue sharks,"TG Com 24, 11/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.25.R-Libya.pdf
2017.11.24,2017-11-24,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Fishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.24-Azatian.pdf
2017.11.18,2017-11-18,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Late afternoon,,"Florida Today, 11/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.18-Anderson.pdf
2017.11.13.R,2017-11-13,2017,Unprovoked,,,,Surfing,M,24,Puncture wounds to feet,N,,,Instagram,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13.R-Timur.pdf
2017.11.13,2017-11-13,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.13-Fry.pdf
2017.11.04,2017-11-04,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,,M,22,FATAL,Y,23h30,Tiger shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.11.04-Cuba.pdf
2017.10.31.R,2017-10-31,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,,Cookiecutter shark,"Townsville Bulletin, 10/31/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21.R-Tolley.pdf
2017.10.28,2017-10-28,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.28-Birubi.pdf
2017.10.26,2017-10-26,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Boarding,M,,No injury but shark bit SUP,N,15h00,,"Hawaii News Now, 10/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.26-Oahu.pdf
2017.10.23.c,2017-10-23,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,,Minor injury to foot,N,Afternoon,,"J. LeBlanc, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.c-Mauritius.pdf
2017.10.23.b,2017-10-23,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing,M,17,Lacerations to left foot,N,17h00,,"WPBF News, 10/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.b-Hartl.pdf
2017.10.23.a,2017-10-23,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,,"Palm Beach Post, 11/1/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.23.a-Peteka.pdf
2017.10.22,2017-10-22,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m","Nine News, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.22-Williams.pdf
2017.10.21,2017-10-21,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,"New Zealand Herald, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.21-Lomas.pdf
2017.10.18,2017-10-18,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet","WPTV, 10/19/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.18-Iribam.pdf
2017.10.09,2017-10-09,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet","Hawaii News Now, 10/10/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.09-Milan.pdf
2017.10.05,2017-10-05,2017,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12h30,8' shark,"Maui Now, 10/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.05-Hawaii.pdf
2017.10.01,2017-10-01,2017,Provoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Diving,M,31,FATAL,,,Death may have been due to drowning,"All Africa, 10/11/2017 ",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.10.01-Fick.pdf
2017.09.25.b,2017-09-25,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,N,Morning,5' shark,"News4Jax, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.b-White.pdf
2017.09.25.a,2017-09-25,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m","Stab Magazine, 9/26/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.25.a-Vissers.pdf
2017.09.24.b,2017-09-24,2017,Provoked,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",,15h30,Questionable,"S. Curatolo-Wageman, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.b-Behrend.pdf
2017.09.24.a,2017-09-24,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,N,14h00,4' to 5' shark,"Sun Sentinel, 9/24/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.24.a-FortWorth.pdf
2017.09.20,2017-09-20,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,N,Morning,,"WPTV, 9/25/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.20-Inniss.pdf
2017.09.16.b,2017-09-16,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Surfing,M,13,Lacerations to right foot,N,,"Porbeagle, 1.5 m",Turismo La Aldea,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.b-GrandCanary.pdf
2017.09.16.a,2017-09-16,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16h30,,"Orlando Sentinel, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.16.a-Volusia.pdf
2017.09.15.b,2017-09-15,2017,Provoked,SOUTH AFRICA,Western Cape Province,Hawston,Diving,M,25,"FATAL, but death was probably due to drowning",,Afternoon,,"Ground Up, 9/20/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.b-Love.pdf
2017.09.15.a,2017-09-15,2017,,SAMOA, Upolu Island,Nofoalii,Fishing,M,,Injuries to hands and legs,N,Night,,"Samoa Observer, 9/16/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.15.a-Samoa.pdf
2017.09.14,2017-09-01,2017,Provoked,AUSTRALIA,Westerm Australia,Esperance,Fishing,,,"sharks rammed boats, no injury to occupants",N,,"White shark, 3.5m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.14-EsperanceBoats.pdf
2017.09.13,2017-09-13,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,"TrackingSharks.com, 10/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.13-Loyd.pdf
2017.09.10.b,2017-09-10,2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,15h00,,"West Australian, 9/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.b-Samson.pdf
2017.09.10.a,2017-09-10,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.10.a-McGrath.pdf
2017.09.06.R,2017-09-06,2017,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,Fishing,M,,Foot bitten,N,,,BBC,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.06-Bartholomew.pdf
2017.09.03.b,2017-09-03,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,Swimming,M,,FATAL,Y,Morning,,"All Africa, 10/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.b-Xelela.pdf
2017.09.03.a,2017-09-03,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10h00,,"Japan Today, 9/4/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.03.a-Japan.pdf
2017.09.02.c,2017-09-02,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,N,,Nurse shark,NewsFlare,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.c-Maccarty.pdf
2017.09.02.b,2017-09-02,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,N,,,"Brownsville Herald, 9/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.b-SouthPadre.pdf
2017.09.02.a,2017-09-02,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10h44,,"Click Orlando, 9/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.09.02.a-Elmore.pdf
2017.08.29,2017-08-29,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m","B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Brundler.pdf
2017.08.27,2017-08-27,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,13h19,,"Sun Sentinel, 8/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.27-Veatch.pdf
2017.08.26.b,2017-08-26,2017,Provoked,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,,Midday,Shark involvement questionable,"El Periodico Mediterraneo, 8/27/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.08.26.b-Spain.pdf
